Kod;Nazwa
Karnet 24-godz. 12 z≥;Karnet 24-godz. 12z≥
Karnet 1-godz. 4,6 z≥;Karnet 1-godz. 4,6 z≥
czÍúci autobusowe;czÍúci autobusowe
Autobus;Autobus
karnety;karnety
bilety;Bilety miesiÍczne 12szt.
Ekspozycja plakatÛw w autobusach;Ekspozycja plakatÛw w autobusach
Hologramy;Hologramy
Zakup zwolniony;Zakup zwolniony
woda;Op≥ata za wodÍ
op≥ata za úcieki;op≥ata za úcieki
op≥ata abonamentowa;op≥ata abonamentowa
odzieø robocza;odzieø robocza
kamizelka;kamizelka
czÍúci;czÍúci
Olej napÍdowy grzewczy;Olej napÍdowy grzewczy
M-A-N Bus A21;M-A-N Bus A21
SamochÛd osobowy;SamochÛd osobowy
M-A-N BUS A 21 WMAA21ZZZYB018961;M-A-N BUS A 21 WMAA21ZZZYB018961
MAN A23 WMAA23ZZZ2B022048;MAN A23 WMAA23ZZZ2B022048
MAN A23 WMAA23ZZZ2BO22044;MAN A23 WMAA23ZZZ2BO22044
SPRZEDAØ AUTOBUSU;SPRZEDAØ AUTOBUSU
875;Obs≥uga linii 875 za miesiπc
prπd;prπd
Ekspozycja plakatÛw;Ekspozycja plakatÛw
pas niebieski nadokienny;pas niebieski nadokienny
karnet 1-godz.4,8 z≥;KARNET 1-godz.4,8 z≥ (n)
karnet 24-godz. 13z≥;KARNET 24-godz. 13z≥ (n)
karnet jednoprzejazdowy 8z≥;KARNET jednoprzejazdowy 8z≥ (n)
karnet jednoprzejazdowy 10,5z≥ (n);KARNET jednoprzejazdowy 10,5z≥ (n)
Z≥omowanie;Z≥omowanie
radiotelefon;radiotelefon
system e-biletu;system e-biletu
kasownik;kasownik
przyciski do drzwi;przyciski do drzwi
Karnet DOKON 20- przej. 180;Karnet DOKON 20- przej. 180
Bilet ZTM 1,90z≥;Bilet ZTM 1,90z≥
Bilet ZTM 3,80 z≥;Bilet ZTM 3,80z≥
Bilet ZTM 6,50z≥;Bilet ZTM 6,50z≥
Bilet ZTM 13 z≥;Bilet ZTM 13 z≥
Mijola;Mijola
Drukarka;Drukarka
Multiplex;Multiplex
Tablice przymykowe;Tablice przymykowe
Kurier;Kurier
Kamera;KAMERA HIKVISION DS-TURBO HD
Karnet 1-godz( 2x1,9 );Karnet 1-godz 3,8 ( 2x1,9 )
Karnet jednoprzejazdowy ( 2x 2,10 );Karnet jednoprzejazdowy 4,2z≥ ( 2x 2,10 )
Autobus.;AUTOBUS MARKI MERCEDES-BENZ
UNIX-M 285 mm Czerwona;UNIX-M 285 mm Czerwona
Intel;Obs≥uga linii Intel za miesiπc
krawaty;krawaty
montaø;montaø
180680;USZCZELKA FILTRA ODMY MERCEDES CITARO
180780;USZCZELKA FILTRA ODMY MERCEDES CITARO
50033010;WK£AD STACYJKI
1800079;USZCZELKA OBUDOWY FILTRA OLEJU MERCEDES CITARO OM457
230;ORING WTRYSKIWACZA MERCEDES CITARO OM906
2540335;TULEJKA SWORZNIA KULISTEGO £APY SPRZ G£A MERCEDES
2571480;ZESTAW NAPRAWCZY CYLINDRA SKRZYNI BIEG”W MERCEDES
2710540;ZABEZPIECZENIE SKRZYNI BIEG”W
2712080;USZCZELKA MISKI SKRZYNI BIEG”W ZF
2713480;USZCZELKA SKRZYNI BIEG”W MERCEDES
2716380;USZCZELKA SKRZYNI VOITH
3201232;£•CZNIK STABILIZATORA SETRA/INTEGRO
3301611;TULEJA DR•ØKA REAKCYJNEGO Q-85 WEW. GWINT M24 WPUSZCZANY
3302111;TULEJA DR•ØKA REAKCYJNEGO PRZ”D MERCEDES CITARO
3302311;TULEJA DR•ØKA REAKCYJNEGO MERCEDES CITARO
3501235;PIASTA TY£ MERCEDES CITARO
3502605;TULEJA DR. REAKCYJNEGO Q75X152X21
3520127;TULEJA DR•ØKA REAKCYJNEGO (cukierek) MERCEDES/SETRA Q-90
4010971;SZPILKA KO£A M22X1,5X75/5MM TY£ MERCEDES CITARO Z FREZ,
4012371;SZPILKA KO£A MERCEDES CITARO PRZ”D M22X1,5X68
4661367;CZUJNIK POZIOMU P£YNU WSPOMAGANIA MERCEDES CITARO
4712780;USZCZELKA KORKA PALIWA MERCEDES
4770103;FILTR PALIWA
4771602;WK£AD FILTRA PALIWA SEPARATOR CITARO
4920082;WIESZAK T£UMIKA EVOBUS (4 otwory prost.77x56x30)
5003049;ZBIORNIK WYR. CH£ODNICY MERCEDES CITARO
5040614;PODUSZKA ZAWIESZENIA CH£ODNICY CITARO
5446911;LAMPA OBRYSOWA MERCEDES CITARO W•SKA DIODOWA
5453013;STACYJKA ZAP£ONU MERCEDES
5455114;CZUJNIK PNEUMATYCZNY W£•CZNIK GW,WEW
5455414;CZUJNIK PNEUMATYCZNY 5,5 BAR M12X1,5 PRZEW.M24X1
7232327;TULEJKA DRZWI DOLNA MERCEDES CITARO/MAN A21
7500193;KASETA KLAPY BOCZNEJ MERCEDES O303
8110561;OS£ONA LUSTERKA PRAWA MERCEDES CITARO
8110661;OS£ONA LUSTERKA MERCEDES CITARO / SETRA LEWA
8114711;WSPORNIK LUSTRA SETRA
8117011;MOCOWANIE LUSTRA MERCEDES CITARO PRAWE
8120686;MOCOWANIE FIRANKI MERCEDES O404
8203564;LAMPA TY£ MERCEDES CITARO STOP/POZ LEWA
8203664;LAMPA TY£ MERCEDES CITARO STOP/POZ PRAWA
8205064;LAMPA TYLNA MERCEDES RH
8208364;LAMPA TY£ SETRA POZ/STOP PROSTOK•TNA G”RNA
8244049;POKRYWKA PLAS. PI”RA WYCIERACZKI
8246049;OS£ONA RAMIENIA WYCIERACZEK MERCEDES CITARO/MAN
8260362;OPRAWA ØAR”WKI CITARO 3 PINY
8260443;LAMPA TYLNA KIERUNK.BUS G”RNE WEW. CITARO
8261344;LAMPA TYLNA STOP/POZYCJA G”RNA WEW.
8262857;KLOSZ LAMPY OBRYSOWEJ BIA£Y £EZKA MERCEDES/MAN
8322072;FILTR P£YNU CH£ODZ•CEGO CITARO KPL.
8330017;TULEJKA POKR T£A MERCEDES 405
8695047;KO—C”WKA SPRYSKIWACZA SZYB SETRA
9872143;PODUSZKA MOCOWANIA INTER.
9903360;NAKR TKA WA£KA ATAKU MERCEDES CITARO/MAN ZF AV132
11530420;CZUJNIK PR DKOåCI OBROTOWEJ WA£U 2
12954407;SI£OWNIK SPRZ G£A MERCEDES O407 HYDRAULICZNY
13308935;KO—C”WKA DR•ØKA KIEROWNICZEGO POD£. WYGI TA MERCEDES CITARO
00133SH;KASETA KLAPY BOCZNEJ SETRA Z OBRYS”WK•
1796;USZCZELKA POKRYWY ZAWOR”W MERCEDES CITARO OM457
18102316;LUSTRO PRAWE MERCEDES CITARO/SETRA 300
18102416;LUSTRO PRAWE SETRA 315 MERCEDES KR”TKIE MOCOWANIE GRZANE STEROWANE
18114533;WK£AD LUSTERKA LEWE MERCEDES O404/CITARO D£UØSZY
18114633;WK£AD LUSTRA MERCEDES CITARO 340X175
18202410;PRZE£•CZNIK WENTYLATORA DMUCHAWY
18205821;LAMPA KIERUNKOWSKAZU MERCEDES CITARO LEWA
18205921;LAMPA KIERUNKOWSKAZU MERCEDES CITARO PRAWA
18206121;LAMPA KIERUNKOWSKAZU TY£ MERCEDES CITARO PRAWA
18356947;FILTR SIATKOWY P£YNU CH£ODNICY CITARO/INTEGRO
18359147;FILTR NADMUCHU KABINY MERCEDES CITARO
19807164;AMORTYZATOR KLAPY PALIWA CITARO
001BB19423300;TULEJKA KORBOWODU OM447
2070;USZCZELKA POMPY PALIWA
22088;P”£Oå NAP DOWA
25452114;PRZYCISK OTWIERANIA DRZWI KIEROWCY ZEWN TRZNY 3 PINY
25453914;CZUJNIK CIåNIENIA W UK£ADZIE HAMULCOWYM
25459926;KO—C”WKA ELEKTRYCZNA OKR•G£A
31537628;CZUJNIK CIåNIENIA POWIETRZA
34307581;ZAW”R HAMULCA R CZNEGO MERCEDES CITARO WYJåCIA W BOK
35450226;KO—C”WKA ELEKTRYCZNA OKR•G£A
35458105;PRZEKAèNIK ABS MERCEDES
3550;PRZEW”D MIEDZIANY M30 L-550
00366V0;ZESTAW PIERåCIENI T£OKA Q128 OM447
00376N0;PIERåCIENIE T£OKOWE MERCEDES OM422-447  (3-3-4)
38201556;LAMPA OåWIETLENIA TABLICY REJ. MERCEDES CITARO
